No,ID,Word/Phrase,POS (Old),POS (New),English Meaning (Old),English Meaning (New),Thai Meaning (Old),Thai Meaning (New),Status,Audit Notes / Reason
40,ox_undertake34,undertake,verb,verb,take on,take on,ดำเนินการ,ดำเนินการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
41,ox_volunteer35,volunteer,verb,verb,offer freely,offer freely,อาสาสมัคร,อาสาสมัคร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
42,ox_welfare36,welfare,noun,noun,well-being,well-being,สวัสดิการ,สวัสดิการ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
43,ox_allocate37,allocate,verb,verb,distribute,distribute,จัดสรร,จัดสรร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
44,ox_compensate38,compensate,verb,verb,make up,make up,ชดเชย,ชดเชย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
45,ox_derive39,derive,verb,verb,obtain from,obtain from,ได้มา,ได้มา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
46,ox_encounter40,encounter,verb,verb,meet,meet,พบเจอ,พบเจอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
47,ox_fluctuate41,fluctuate,verb,verb,vary,vary,ผันผวน,ผันผวน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
48,ox_guarantee42,guarantee,noun,noun,promise,promise,รับประกัน,รับประกัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
49,ox_highlight43,highlight,verb,verb,emphasize,emphasize,เน้นย้ำ,เน้นย้ำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
50,ox_implement44,implement,verb,verb,put into effect,put into effect,นำไปใช้,นำไปใช้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
51,ox_legislate45,legislate,verb,verb,make laws,make laws,ออกกฎหมาย,ออกกฎหมาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
52,ox_mediate46,mediate,verb,verb,intervene,intervene,ไกล่เกลี่ย,ไกล่เกลี่ย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
53,ox_navigate47,navigate,verb,verb,find way,find way,นำทาง,นำทาง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
54,ox_optimize48,optimize,verb,verb,make best,make best,เพิ่มประสิทธิภาพสูงสุด,เพิ่มประสิทธิภาพสูงสุด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
55,ox_predict49,predict,verb,verb,forecast,forecast,คาดการณ์,คาดการณ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
56,ox_regulate50,regulate,verb,verb,control,control,ควบคุม,ควบคุม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
57,ox_simulate51,simulate,verb,verb,imitate,imitate,จำลอง,จำลอง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
58,ox_tolerate52,tolerate,verb,verb,allow,allow,อดทน,อดทน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
59,ox_undermine53,undermine,verb,verb,weaken,weaken,บ่อนทำลาย,บ่อนทำลาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
60,ox_verify54,verify,verb,verb,confirm,confirm,ตรวจสอบ,ตรวจสอบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
61,ox_abundant55,abundant,adjective,adjective,plentiful,plentiful,อุดมสมบูรณ์,อุดมสมบูรณ์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
62,ox_coherent56,coherent,adjective,adjective,logical,logical,สอดคล้อง,สอดคล้อง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
63,ox_dominant57,dominant,adjective,adjective,powerful,powerful,เด่น,เด่น,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
64,ox_elaborate58,elaborate,adjective,adjective,detailed,detailed,อธิบายละเอียด,อธิบายละเอียด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
65,ox_feasible59,feasible,adjective,adjective,doable,doable,เป็นไปได้,เป็นไปได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
66,ox_innovative60,innovative,adjective,adjective,creative,creative,สร้างสรรค์,สร้างสรรค์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
67,ox_notion61,notion,noun,noun,idea,idea,แนวคิด,แนวคิด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
68,ox_paradigm62,paradigm,noun,noun,model,model,กระบวนทัศน์,กระบวนทัศน์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
69,ox_reluctant63,reluctant,adjective,adjective,unwilling,unwilling,ลังเล,ลังเล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
70,ox_substantial64,substantial,adjective,adjective,considerable,considerable,จำนวนมาก,จำนวนมาก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
71,ox_transparent65,transparent,adjective,adjective,clear,clear,โปร่งใส,โปร่งใส,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
72,ox_underlying66,underlying,adjective,adjective,real cause,real cause,พื้นฐาน,พื้นฐาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
73,ox_versatile67,versatile,adjective,adjective,adaptable,adaptable,อเนกประสงค์,อเนกประสงค์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
74,ox_compile68,compile,verb,verb,collect,collect,รวบรวม,รวบรวม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
75,ox_demonstrate69,demonstrate,verb,verb,show,show,สาธิต,สาธิต,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
76,ox_eliminate70,eliminate,verb,verb,remove,remove,กำจัด,กำจัด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
77,ox_formulate71,formulate,verb,verb,create,create,กำหนดสูตร,กำหนดสูตร,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
78,ox_incorporate72,incorporate,verb,verb,include,include,รวมเข้า,รวมเข้า,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
79,ox_manifest73,manifest,verb,verb,display,display,แสดงออก,แสดงออก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
80,ox_precede74,precede,verb,verb,come before,come before,มาก่อน,มาก่อน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
81,ox_reinforce75,reinforce,verb,verb,strengthen,strengthen,เสริมความแข็งแรง,เสริมความแข็งแรง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
82,ox_agenda76,agenda,noun,noun,list,list,วาระการประชุม,วาระการประชุม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
83,ox_alternative77,alternative,noun,noun,different option,different option,ทางเลือก,ทางเลือก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
84,ox_amazing78,amazing,adjective,adjective,astonishing,astonishing,น่าทึ่ง,น่าทึ่ง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
85,ox_ambitious79,ambitious,adjective,adjective,eager,eager,ทะเยอทะยาน,ทะเยอทะยาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
86,ox_analyse80,analyse,verb,verb,examine,examine,วิเคราะห์,วิเคราะห์,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
87,ox_ancient81,ancient,adjective,adjective,very old,very old,โบราณ,โบราณ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
88,ox_announce82,announce,verb,verb,make known,make known,ประกาศ,ประกาศ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
89,ox_anxiety83,anxiety,noun,noun,worry,worry,ความกังวล,ความกังวล,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
90,ox_apparent84,apparent,adjective,adjective,obvious,obvious,ชัดเจน,ชัดเจน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
91,ox_approach85,approach,verb,verb,method,method,วิธีการเข้าหา,วิธีการเข้าหา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
92,ox_assessx0,assess,verb,verb,evaluate,evaluate,ประเมิน,ประเมิน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
93,ox_assumex1,assume,verb,verb,suppose,suppose,สันนิษฐาน,สันนิษฐาน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
94,ox_attemptx2,attempt,verb,verb,try,"to make an effort to do, accomplish, or achieve something",ความพยายาม,"พยายาม, พยายามทำสิ่งใดสิ่งหนึ่ง",MODIFIED,แก้ไขคำแปลไทยจากคำนาม (ความพยายาม) ให้เป็นคำกริยา (พยายาม)
95,ox_attitudex3,attitude,noun,noun,mindset,mindset,ทัศนคติ,ทัศนคติ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
96,ox_attractx4,attract,verb,verb,interest,interest,ดึงดูด,ดึงดูด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
97,ox_authorityx5,authority,noun,noun,power,power,อำนาจ,อำนาจ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
98,ox_adequatex6,adequate,adjective,adjective,sufficient,sufficient,เพียงพอ,เพียงพอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
99,ox_advantagex7,advantage,noun,noun,benefit,benefit,ข้อได้เปรียบ,ข้อได้เปรียบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
100,ox_affectx8,affect,verb,verb,influence,influence,ส่งผลกระทบ,ส่งผลกระทบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
101,ox_a,a,determiner,determiner,used before a singular noun to refer to one unspecified thing,used before a singular noun to refer to one unspecified thing,อันหนึ่ง / คนหนึ่ง / สิ่งหนึ่ง (คำนำหน้านาม),อันหนึ่ง / คนหนึ่ง / สิ่งหนึ่ง (คำนำหน้านาม),CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
102,ox_abandoned,abandoned,adjective,adjective,Having been deserted or left,Having been deserted or left,ถูกทอดทิ้ง / รกร้าง,ถูกทอดทิ้ง / รกร้าง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
103,ox_able,able,adjective,adjective,"Having the power, skill, means, or opportunity to do something","Having the power, skill, means, or opportunity to do something",สามารถ,สามารถ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
104,ox_about,about,preposition,preposition,On the subject of; concerning,On the subject of; concerning,เกี่ยวกับ,เกี่ยวกับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
105,ox_above,above,preposition,preposition,At a higher level or layer,At a higher level or layer,ข้างบน,ข้างบน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
106,ox_abroad,abroad,adverb,adverb,In or to a foreign country or countries,In or to a foreign country or countries,ต่างประเทศ,ต่างประเทศ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
107,ox_absence,absence,noun,noun,The state of being away from a place or person,The state of being away from a place or person,ขาด,ขาด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
108,ox_absent,absent,adjective,adjective,"Not present in a place, at an occasion, or as part of something","Not present in a place, at an occasion, or as part of something",ไม่มา,ไม่มา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
109,ox_absolute,absolute,adjective,adjective,Not qualified or diminished in any way; total,Not qualified or diminished in any way; total,แน่นอน,แน่นอน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
110,ox_absolutely,absolutely,adverb,adverb,"With no qualification, restriction, or limitation; totally","With no qualification, restriction, or limitation; totally",อย่างแน่นอน,อย่างแน่นอน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
111,ox_absorb,absorb,verb,verb,"Take in or soak up (energy, or a liquid or other substance) by chemical or physical action","Take in or soak up (energy, or a liquid or other substance) by chemical or physical action",ดูดซับ,ดูดซับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
112,ox_abuse,abuse,noun,noun,Use (something) to bad effect or for a bad purpose; misuse,Use (something) to bad effect or for a bad purpose; misuse,ใช้ในทางที่ผิด,ใช้ในทางที่ผิด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
113,ox_accent,accent,noun,noun,"A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class","A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class",สำเนียง,สำเนียง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
114,ox_accept,accept,verb,verb,Consent to receive or undertake (something offered),Consent to receive or undertake (something offered),ยอมรับ,ยอมรับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
115,ox_acceptable,acceptable,adjective,adjective,Able to be agreed on; suitable,Able to be agreed on; suitable,ยอมรับได้,ยอมรับได้,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
116,ox_access,access,noun,noun,A means of approaching or entering a place,A means of approaching or entering a place,เข้าถึง,เข้าถึง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
117,ox_accident,accident,noun,noun,"An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury","An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury",อุบัติเหตุ,อุบัติเหตุ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
118,ox_accidental,accidental,adjective,adjective,"Happening by chance, unintentionally, or unexpectedly","Happening by chance, unintentionally, or unexpectedly",บังเอิญ,บังเอิญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
119,ox_accidentally,accidentally,adverb,adverb,By chance; in a way that was not planned or intended,By chance; in a way that was not planned or intended,โดยบังเอิญ,โดยบังเอิญ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
120,ox_accommodation,accommodation,noun,noun,"A room, group of rooms, or building in which someone may live or stay","A room, group of rooms, or building in which someone may live or stay",ที่พัก,ที่พัก,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
121,ox_accompany,accompany,verb,verb,Go somewhere with (someone) as a companion or escort,Go somewhere with (someone) as a companion or escort,มาพร้อมกับ,มาพร้อมกับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
122,ox_according_to,according to,preposition,preposition,As stated by or in,as stated by or in accordance with,ตาม,"ตามที่, อ้างอิงตาม",MODIFIED,ปรับคำแปลไทยให้สละสลวยชัดเจน
123,ox_account,account,noun,noun,A report or description of an event or experience,A report or description of an event or experience,บัญชี,บัญชี,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
124,ox_account_for,account for,verb,phrasal verb,To be the explanation or cause of something,to explain the cause of; to form a particular amount or part of,คิดเป็นสัดส่วน / อธิบายสาเหตุ,"คิดเป็นสัดส่วน, อธิบายสาเหตุของ",MODIFIED,แก้ไขชนิดของคำ POS ให้เป็น phrasal verb
125,ox_accurate,accurate,adjective,adjective,Correct in all details; exact,Correct in all details; exact,ถูกต้อง / แม่นยำ,ถูกต้อง / แม่นยำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
126,ox_accurately,accurately,adverb,adverb,In a way that is correct in all details; exactly,In a way that is correct in all details; exactly,ได้อย่างแม่นยำ,ได้อย่างแม่นยำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
127,ox_accuse,accuse,verb,verb,Charge (someone) with an offense or crime,Charge (someone) with an offense or crime,กล่าวโทษ,กล่าวโทษ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
128,ox_achievement,achievement,noun,noun,"A thing done successfully, typically by effort, courage, or skill","A thing done successfully, typically by effort, courage, or skill",ความสำเร็จ,ความสำเร็จ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
129,ox_acid,acid,noun,noun,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind","A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind",กรด,กรด,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
130,ox_acknowledge,acknowledge,verb,verb,Accept or admit the existence or truth of,Accept or admit the existence or truth of,รับทราบ,รับทราบ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
131,ox_a_couple,a couple,noun,noun,Two people or things of the same sort considered together,"two people or things, or a small number of them",คู่,"สองสามอย่าง, คู่, สองคน",MODIFIED,ปรับคำแปลไทยให้ครอบคลุมการใช้งานทั่วไป (สองสาม.../คู่)
132,ox_across,across,preposition,preposition,"From one side to the other of (a place, area, etc.)","From one side to the other of (a place, area, etc.)",ข้าม,ข้าม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
133,ox_act,act,verb,verb,Take action; do something,Take action; do something,กระทำ,กระทำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
134,ox_action,action,noun,noun,"The fact or process of doing something, typically to achieve an aim","The fact or process of doing something, typically to achieve an aim",การกระทำ,การกระทำ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
135,ox_active,active,adjective,adjective,Engaging or ready to engage in physically energetic pursuits,Engaging or ready to engage in physically energetic pursuits,คล่องแคล่ว,คล่องแคล่ว,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
136,ox_actively,actively,adverb,adverb,In an active manner; energetically,In an active manner; energetically,อย่างแข็งขัน,อย่างแข็งขัน,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
137,ox_activity,activity,noun,noun,The condition in which things are happening or being done,The condition in which things are happening or being done,กิจกรรม,กิจกรรม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
138,ox_actor,actor,noun,noun,"A person whose profession is acting on the stage, in movies, or on television","A person whose profession is acting on the stage, in movies, or on television",นักแสดงชาย,นักแสดงชาย,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
139,ox_actress,actress,noun,noun,A female actor,A female actor,นักแสดงหญิง,นักแสดงหญิง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
140,ox_actual,actual,adjective,adjective,Existing in fact; real,Existing in fact; real,แท้จริง,แท้จริง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
141,ox_actually,actually,adverb,adverb,As the truth or facts of a situation; really,As the truth or facts of a situation; really,จริงๆ แล้ว / ในความเป็นจริง,จริงๆ แล้ว / ในความเป็นจริง,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
142,ox_ad,ad,noun,noun,An advertisement,An advertisement,โฆษณา,โฆษณา,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
143,ox_adapt,adapt,verb,verb,Make (something) suitable for a new use or purpose; modify,Make (something) suitable for a new use or purpose; modify,ปรับ,ปรับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
144,ox_add,add,verb,verb,"Join (something) to something else so as to increase the size, number, or amount","Join (something) to something else so as to increase the size, number, or amount",เพิ่ม,เพิ่ม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
145,ox_addition,addition,noun,noun,The action or process of adding something to something else,The action or process of adding something to something else,ส่วนที่เพิ่มเข้าไป,ส่วนที่เพิ่มเข้าไป,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
146,ox_additional,additional,adjective,adjective,"Added, extra, or supplementary to what is already present or available","Added, extra, or supplementary to what is already present or available",เพิ่มเติม,เพิ่มเติม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
147,ox_add_on,add on,verb,phrasal verb,a phrasal verb meaning to add on,to include or attach something as an extra part,เพิ่ม,"เพิ่มเข้าไป, คิดเงินเพิ่ม, เสริมเข้ามา",MODIFIED,แทนที่คำนิยาม placeholder ภาษาอังกฤษ และปรับคำแปลไทยให้เป็นธรรมชาติ
148,ox_address,address,noun,noun,The particulars of the place where someone lives or an organization is situated,The particulars of the place where someone lives or an organization is situated,ที่อยู่,ที่อยู่,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
149,ox_add_up,add up,noun,phrasal verb,To calculate the total of two or more numbers or amounts,to calculate the total; to seem reasonable or make sense,สมเหตุสมผล / รวมยอดเข้ากัน,"รวมยอดเข้าด้วยกัน, สมเหตุสมผล/ฟังขึ้น",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
150,ox_add_up_to,add up to,noun,phrasal verb,To result in a total amount,to result in a particular total amount; to have a particular meaning,รวมเป็นยอดเงิน / สรุปแล้วคือ,"รวมเป็นยอดจำนวน, สรุปความหมายได้ว่า",MODIFIED,แก้ไขชนิดของคำ POS จาก noun เป็น phrasal verb
151,ox_adequately,adequately,adverb,adverb,In a satisfactory way,In a satisfactory way,อย่างเพียงพอ,อย่างเพียงพอ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
152,ox_adjust,adjust,verb,verb,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result","Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",ปรับ,ปรับ,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
153,ox_admiration,admiration,noun,noun,Respect and warm approval,Respect and warm approval,ความชื่นชม,ความชื่นชม,CORRECT,ถูกต้องตามหลักไวยากรณ์และความหมาย
